"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C7","3","2.2nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"2","C3, C4, C5, C6, C8","5","1uF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"3","C9, C10","2","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"4","D1, D2, D3, D4, D5","5","D","Diode_THT:D_DO-15_P5.08mm_Vertical_AnodeUp",""
"5","J1, J3","2","Conn_01x32_Socket","Connector_PinHeader_2.54mm:PinHeader_1x32_P2.54mm_Vertical",""
"6","J2","1","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"7","Q1, Q3, Q5","3","BC558","Package_TO_SOT_THT:TO-92_Inline",""
"8","Q2, Q4, Q6","3","BC548","Package_TO_SOT_THT:TO-92_Inline",""
"9","R1, R4, R5, R7, R11, R13, R16, R20, R34, R37, R39, R41, R43, R46","14","100K","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"10","R2, R9, R35","3","1K5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"11","R3, R10, R36","3","1K","Potentiometer_THT:Potentiometer_Bourns_3006Y_Horizontal",""
"12","R6, R8, R12, R14, R38, R40","6","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"13","R15, R19","2","200k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"14","R17, R21, R22, R25, R27, R28, R30, R32, R47","9","100k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"15","R18, R23, R45","3","33k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R24, R26, R29, R31","4","20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R33","1","20K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R42, R48","2","68K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"19","R44","1","14K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"20","R49, R50","2","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"21","R51, R52","2","10R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"22","TH1, TH2, TH3, TH5, TH6, TH8, TH9, TH10, TH12","9","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"23","TH4, TH7, TH11","3","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"24","U1","1","40106","Package_DIP:DIP-14_W7.62mm_Socket",""
"25","U2, U3, U4","3","TL074","Package_DIP:DIP-14_W7.62mm_Socket",""
